trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,Instruct.started,Instruct.stopped,Training_Trial.started,Training_Trial.stopped,Shape_Trial.started,Shape_Trial.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,0.06595716602168977,0.8690573750063777,,,,,841821,001,2024-05-02_20h50.49.070,untitled,2024.1.1,None,2024-05-02 20h50.56.942423 -0400,
0,0,0,0,,,,,0.8825964578427374,,,,0.8722704579122365,2.0737659158185124,,,841821,001,2024-05-02_20h50.49.070,untitled,2024.1.1,None,2024-05-02 20h50.56.942423 -0400,
1,0,1,0,,,,,2.0817497498355806,,,,2.074022540822625,3.1820806658361107,,,841821,001,2024-05-02_20h50.49.070,untitled,2024.1.1,None,2024-05-02 20h50.56.942423 -0400,
2,0,2,0,,,,,3.1912289578467607,,,,3.1825112078804523,4.423278332920745,,,841821,001,2024-05-02_20h50.49.070,untitled,2024.1.1,None,2024-05-02 20h50.56.942423 -0400,
3,0,3,0,,,,,4.431191707961261,,,,4.4235161249525845,5.711808332940564,,,841821,001,2024-05-02_20h50.49.070,untitled,2024.1.1,None,2024-05-02 20h50.56.942423 -0400,
4,0,4,0,,,,,5.720117082819343,,,,5.712057540891692,7.061999499797821,,,841821,001,2024-05-02_20h50.49.070,untitled,2024.1.1,None,2024-05-02 20h50.56.942423 -0400,
,,,,0,0,0,0,7.070128582883626,,,,,,7.063059750013053,8.142659874865785,841821,001,2024-05-02_20h50.49.070,untitled,2024.1.1,None,2024-05-02 20h50.56.942423 -0400,
,,,,1,0,1,0,8.148610999807715,,,,,,8.14290358289145,8.907813499914482,841821,001,2024-05-02_20h50.49.070,untitled,2024.1.1,None,2024-05-02 20h50.56.942423 -0400,
,,,,2,0,2,0,8.914051624946296,,,,,,8.90806366596371,9.80749183287844,841821,001,2024-05-02_20h50.49.070,untitled,2024.1.1,None,2024-05-02 20h50.56.942423 -0400,
,,,,3,0,3,0,9.813799457857385,,,,,,9.80775074986741,10.602100832853466,841821,001,2024-05-02_20h50.49.070,untitled,2024.1.1,None,2024-05-02 20h50.56.942423 -0400,
,,,,4,0,4,0,10.60857595782727,,,,,,10.602353832917288,11.518649874953553,841821,001,2024-05-02_20h50.49.070,untitled,2024.1.1,None,2024-05-02 20h50.56.942423 -0400,
